127.0.0.1 - - [23/Feb/2017:09:49:42 -0500] "PUT /DymamicWorks/resources/message HTTP/1.1" 200 101
127.0.0.1 - - [23/Feb/2017:09:49:43 -0500] "DELETE /DymamicWorks/resources/message/102 HTTP/1.1" 200 33
127.0.0.1 - - [23/Feb/2017:09:49:43 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 106
127.0.0.1 - - [23/Feb/2017:09:49:43 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 92
127.0.0.1 - - [23/Feb/2017:09:49:43 -0500] "PUT /DymamicWorks/resources/message HTTP/1.1" 200 102
127.0.0.1 - - [23/Feb/2017:09:49:43 -0500] "GET /DymamicWorks/resources/message/102 HTTP/1.1" 200 102
127.0.0.1 - - [23/Feb/2017:09:49:43 -0500] "GET /DymamicWorks/resources/message HTTP/1.1" 200 381
127.0.0.1 - - [23/Feb/2017:09:49:43 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 76
127.0.0.1 - - [23/Feb/2017:09:49:43 -0500] "GET /DymamicWorks/resources/message/114 HTTP/1.1" 200 76
127.0.0.1 - - [23/Feb/2017:09:57:03 -0500] "PUT /DymamicWorks/resources/message HTTP/1.1" 200 101
127.0.0.1 - - [23/Feb/2017:09:57:04 -0500] "DELETE /DymamicWorks/resources/message/102 HTTP/1.1" 200 33
127.0.0.1 - - [23/Feb/2017:09:57:04 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 106
127.0.0.1 - - [23/Feb/2017:09:57:05 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 92
127.0.0.1 - - [23/Feb/2017:09:57:05 -0500] "PUT /DymamicWorks/resources/message HTTP/1.1" 200 102
127.0.0.1 - - [23/Feb/2017:09:57:05 -0500] "GET /DymamicWorks/resources/message/102 HTTP/1.1" 200 102
127.0.0.1 - - [23/Feb/2017:09:57:05 -0500] "GET /DymamicWorks/resources/message HTTP/1.1" 200 381
127.0.0.1 - - [23/Feb/2017:09:57:05 -0500] "POST /DymamicWorks/resources/message HTTP/1.1" 200 76
127.0.0.1 - - [23/Feb/2017:09:57:05 -0500] "GET /DymamicWorks/resources/message/114 HTTP/1.1" 200 76
